"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","vote","prtvede2","prtclede","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","blgetmg","gndr","yrbrn","region","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","prob","stratum","psu"
"ESS9e03_2",9,"3.2","23.11.2023",9,"DE",0.99946624,1.275009,3.037345,3.8726423,2,66,66,10,10,7,7,7,6,2,2,1992,"DEA",3,5,2,5,2,2,3,3,3,3,2,2,5,3,4,5,5,3,2,5,3,0.00012220745,336,5856
"ESS9e03_2",9,"3.2","23.11.2023",10,"DE",0.99946624,0.8540229,3.037345,2.5939622,1,1,1,8,8,5,9,7,8,2,2,1953,"DE2",3,6,2,5,1,3,3,2,4,3,2,1,5,1,6,3,5,1,1,4,5,0.00012220745,284,5755
"ESS9e03_2",9,"3.2","23.11.2023",64,"DE",0.99946624,0.75969493,3.037345,2.3074555,1,2,2,8,5,6,6,4,8,2,2,1944,"DE9",1,6,2,2,5,1,6,2,4,1,1,1,1,3,5,5,4,1,1,1,1,0.00012220745,307,5798
"ESS9e03_2",9,"3.2","23.11.2023",65,"DE",0.99946624,1.0794106,3.037345,3.2785423,1,2,2,6,6,2,4,3,3,2,1,1954,"DEA",2,5,2,3,4,5,5,2,2,2,2,2,4,2,5,3,2,2,2,3,2,0.00012220745,338,5861
"ESS9e03_2",9,"3.2","23.11.2023",91,"DE",0.99946624,1.2697877,3.037345,3.8567832,1,88,66,9,9,5,5,5,5,2,2,1965,"DE4",2,5,2,2,5,4,6,2,3,2,2,4,2,4,3,5,6,2,2,5,4,0.00012220745,297,5779
"ESS9e03_2",9,"3.2","23.11.2023",119,"DE",0.99946624,1.275009,3.037345,3.8726423,1,1,66,9,8,88,10,8,9,1,2,1998,"DEA",3,3,1,3,2,2,2,1,2,3,3,1,1,1,3,4,3,1,1,1,2,0.00012220745,323,5831
"ESS9e03_2",9,"3.2","23.11.2023",150,"DE",0.99946624,0.9422759,3.037345,2.862017,1,1,1,10,10,5,10,0,5,2,2,1947,"DEA",2,5,3,4,1,3,3,3,3,3,3,2,4,2,6,5,1,1,1,1,3,0.00012220745,320,5825
"ESS9e03_2",9,"3.2","23.11.2023",212,"DE",0.99946624,1.4220028,3.037345,4.319113,1,2,2,8,8,7,7,8,9,2,1,1977,"DE4",2,4,2,2,2,4,3,2,3,2,2,3,3,4,4,3,3,2,2,2,2,0.00012220745,295,5775
"ESS9e03_2",9,"3.2","23.11.2023",255,"DE",0.99946624,1.2261274,3.037345,3.7241719,1,3,3,4,5,4,6,4,6,2,1,1956,"DE3",2,5,2,4,4,1,4,2,3,2,1,2,4,2,3,5,4,1,2,3,4,0.00012220745,294,5774
"ESS9e03_2",9,"3.2","23.11.2023",270,"DE",0.99946624,0.97831357,3.037345,2.9714758,1,1,1,9,9,6,9,9,6,2,1,1953,"DE2",1,4,5,5,2,5,2,2,2,4,2,2,5,2,5,2,5,2,2,1,4,0.00012220745,278,5742
"ESS9e03_2",9,"3.2","23.11.2023",279,"DE",0.99946624,1.0877867,3.037345,3.3039834,1,77,66,10,7,88,88,5,8,2,2,1951,"DE7",4,5,5,5,5,5,3,3,2,4,2,2,2,2,4,3,3,3,2,3,3,0.00012220745,341,5868
"ESS9e03_2",9,"3.2","23.11.2023",304,"DE",0.99946624,0.9841161,3.037345,2.9891,1,1,66,9,9,6,5,5,8,2,2,1971,"DED",5,5,3,2,2,4,3,3,3,4,2,2,3,2,6,2,2,1,1,4,5,0.00012220745,303,5792
"ESS9e03_2",9,"3.2","23.11.2023",311,"DE",0.99946624,0.5348688,3.037345,1.624581,1,77,77,9,9,8,9,8,8,2,1,1952,"DEB",1,5,2,5,2,5,5,3,3,3,1,3,5,3,6,4,6,3,2,4,4,0.00012220745,350,5884
"ESS9e03_2",9,"3.2","23.11.2023",318,"DE",0.99946624,0.89372134,3.037345,2.71454,1,1,66,8,10,7,9,5,8,2,1,1970,"DE4",2,4,2,5,3,3,5,3,2,3,3,3,2,2,4,3,2,2,1,2,5,0.00012220745,298,5781
"ESS9e03_2",9,"3.2","23.11.2023",372,"DE",0.99946624,0.97831357,3.037345,2.9714758,1,1,1,10,9,8,10,10,8,2,1,1949,"DE2",1,5,1,3,3,5,4,2,4,3,3,2,5,6,6,5,5,1,1,1,4,0.00012220745,290,5766
"ESS9e03_2",9,"3.2","23.11.2023",385,"DE",0.99946624,0.5446976,3.037345,1.6544344,1,1,1,9,8,5,8,7,8,2,2,1958,"DE9",3,4,1,4,5,4,4,3,3,3,1,1,3,2,2,3,2,2,3,5,5,0.00012220745,314,5813
"ESS9e03_2",9,"3.2","23.11.2023",451,"DE",0.99946624,0.67560714,3.037345,2.052052,1,2,2,7,9,3,6,5,7,2,2,1954,"DEA",3,6,1,5,5,5,2,3,3,1,1,1,3,1,5,3,1,2,1,3,2,0.00012220745,322,5829
"ESS9e03_2",9,"3.2","23.11.2023",458,"DE",0.99946624,2.6125963,3.037345,7.935356,2,66,66,0,10,10,5,5,10,1,2,1975,"DE2",4,5,2,5,2,4,2,2,2,5,4,2,4,2,6,3,4,1,3,3,5,0.00012220745,289,5762
